,environment_short,environment_full,unambiguous_direct,unambiguous_indirect,ambiguity_type,amb_shortlist,ambiguous_task,question,answer,plan_for_clear_task,plan_for_amb_task,end_of_ambiguity,user_intent,variants,variants_best
57,"toaster, plastic food storage container, glass food storage container, honey, carrot, tomato, black pepper, potato, bottle of white wine, bottle of red wine, milk chocolate tablet, almond milk chocolate tablet","a toaster, a plastic food storage container, a glass food storage container, honey, a carrot, a tomato, a black pepper, a potato, a bottle of white wine, a bottle of red wine, a milk chocolate tablet, an almond milk chocolate tablet","Kitchen Robot, please toast a slice of bread, spread honey on it, and grate some carrot on top to make a honey-carrot toast.","Robot, please make a toast with honey and grated carrot on top.",preferences,,"Robot, please toast a slice of bread, spread honey on it, and grate some carrot on top to make a honey-carrot toast.",Which type of bread should the robot use for the toast?,Which type of bread should the robot use for the toast?,"1. Turn on the toaster and place a slice of bread inside.
2. While the bread is toasting, take out the honey and carrot from the fridge.
3. Once the toast is done, spread honey on it using a knife.
4. Grate some carrot on top of the honey-covered toast.
5. Serve the honey-carrot toast on a plate for consumption.","1. Turn on the toaster and place a slice of bread inside.
2. While the bread is toasting, take out the honey and carrot from the fridge.
3. Once the toast is done, spread honey on it using a knife.
4. Grate some carrot on top of the honey-covered toast.
5. Serve the honey-carrot toast on a plate for consumption.",0,"you can use any type of bread for the toast 

instruction for the robot use any type of bread for the toast",A) Turn on the toaster and place a slice of bread inside.,"A) use a slice of white bread for the toast
B) use a slice of whole wheat bread for the toast"
36,"bottle opener, frying pan, grill pan, sauce pan, dish rack, vanilla yogurt cup, greek yogurt cup, garlic, cucumber, tomato, glass milk bottle, oat milk bottle, uncut white bread, toasted bread, sliced whole wheat bread, RedBull can, Coka-Cola can, Pepsi can, beer can, bottled iced tea, bottled water","a bottle opener, a frying pan, a grill pan, a sauce pan, a dish rack, a vanilla yogurt cup, a greek yogurt cup, a garlic, a cucumber, a tomato, a glass milk bottle, an oat milk bottle, uncut white bread, toasted bread, sliced whole wheat bread, a RedBull can, a Coka-Cola can, a Pepsi can, a beer can, bottled iced tea, bottled water","Kitchen Robot, please wash and slice the cucumber and tomato into thin pieces and place them on a ceramic salad plate.","Robot, please wash cut the cucumber and tomato into thin slices and arrange them on a salad plate.",safety,,"Kitchen Robot, please slice the cucumber and tomato into thin pieces and place them on a ceramic salad plate.",Should the robot wash the cucumber and tomato before slicing them?,"Yes, please wash the cucumber and tomato before slicing them.","1. Wash the cucumber and tomato
2. Slice the cucumber and tomato into thin pieces
3. Place the sliced cucumber and tomato on a ceramic salad plate","1. Slice the cucumber and tomato into thin pieces
2. Place the sliced cucumber and tomato on a ceramic salad plate",0,wash the cucumber and tomato before slicing them,A) Slice the cucumber and tomato into thin pieces,"A) wash the cucumber and tomato before slicing them
B) slice the cucumber and tomato into thin pieces without washing them"
343,"corkscrew, plastic dinner plate, plastic bread plate, plastic salad plate, ceramic dinner plate, ceramic bread plate, ceramic salad plate, glass dinner plate, glass bread plate, glass salad plate, vegetable peeler, potato masher, mustard, tomato paste, energy bar, table salt, sea salt, coconut oil, olive oil","a corkscrew, a plastic dinner plate, a plastic bread plate, a plastic salad plate, a ceramic dinner plate, a ceramic bread plate, a ceramic salad plate, a glass dinner plate, a glass bread plate, a glass salad plate, a vegetable peeler, a potato masher, mustard, tomato paste, an energy bar, table salt, sea salt, coconut oil, olive oil","Use the vegetable peeler to peel and chop a few potatoes. Place the potatoes in a saucepan and add a tablespoon of olive oil and a pinch of sea salt. Stir the mixture and cook the potatoes over medium-high heat for 5-7 minutes, or until they are tender and golden brown. While the potatoes are cooking, use the potato masher to mash a can of tomatoes. In a small bowl, combine the mashed tomatoes, a tablespoon of tomato paste, and a tablespoon of mustard. Stir the mixture until it is smooth and well-combined. Serve the potatoes and the tomato sauce on a ceramic dinner plate, with a glass of water on the side.","Robot, please use the vegetable peeler to peel and chop some potatoes. Place them in a saucepan and add a tablespoon of olive oil and a pinch of sea salt. Stir and cook over medium-high heat for 5-7 minutes until tender and golden brown. While they cook, mash a can of tomatoes with the potato masher. In a small bowl, mix the mashed tomatoes with tomato paste and mustard until smooth. Serve the potatoes and tomato sauce on a ceramic dinner plate with a glass of water on the side.",preferences," plastic dinner plate, plastic bread plate, plastic salad plate, ceramic dinner plate, ceramic bread plate, ceramic salad plate","Use the vegetable peeler to peel and chop a few potatoes. Place the potatoes in a saucepan and add a tablespoon of olive oil and a pinch of sea salt. Stir the mixture and cook the potatoes over medium-high heat for 5-7 minutes, or until they are tender and golden brown. While the potatoes are cooking, use the potato masher to mash a can of tomatoes. In a small bowl, combine the mashed tomatoes, a tablespoon of tomato paste, and a tablespoon of mustard. Stir the mixture until it is smooth and well-combined. Serve the potatoes and the tomato sauce on a ceramic dinner plate, with a glass of water on the side.",Which plate should be used to serve the potatoes and tomato sauce?,Serve them on a ceramic dinner plate,"1. Peel and chop the potatoes using the vegetable peeler.
2. Place the potatoes in a saucepan and add olive oil and sea salt.
3. Cook the potatoes over medium-high heat for 5-7 minutes until tender and golden brown.
4. Mash a can of tomatoes using the potato masher.
5. In a small bowl, combine mashed tomatoes, tomato paste, and mustard to make a sauce.
6. Serve the cooked potatoes on a ceramic dinner plate with the tomato sauce on top.
7. Pour a glass of water to accompany the meal.","1. Peel and chop the potatoes using the vegetable peeler.
2. Place the potatoes in a saucepan and add olive oil and sea salt.
3. Cook the potatoes over medium-high heat for 5-7 minutes until tender and golden brown.
4. Mash a can of tomatoes using the potato masher.
5. In a small bowl, combine mashed tomatoes, tomato paste, and mustard to make a sauce.
6. Serve the cooked potatoes on a ceramic dinner plate with the tomato sauce on top.
7. Pour a glass of water to accompany the meal.",0,serve the food on a ceramic dinner plate,A) Peel and chop the potatoes using the vegetable peeler.,"A) use the ceramic dinner plate to serve the potatoes and tomato sauce
B) use the glass dinner plate to serve the potatoes and tomato sauce"
41,"plastic food storage container, glass food storage container, oven mitts, canned olives, vanilla yogurt cup, strawberry yogurt cup, energy bar","a plastic food storage container, a glass food storage container, oven mitts, canned olives, a vanilla yogurt cup, a strawberry yogurt cup, an energy bar","Kitchen Robot, please take out a glass food storage container from the fridge.","Robot, please retrieve a glass food storage container from the refrigerator.",preferences,,"Kitchen Robot, please take out a food storage container.",Which specific item should the robot take out from the fridge?,The glass food storage container.,"1. Take out the glass food storage container from the fridge.
2. Place the glass food storage container on the kitchen table.
3. Check if it needs to be washed in the dishwasher.
4. If needed, wash the glass food storage container in the dishwasher.
5. Dry off the glass food storage container with a dish towel.
6. Put away any leftover food or ingredients into the glass food storage container.
7. Close and store the glass food storage container back in the fridge.

Is there anything else you would like me to do?","1. Take out the food storage container from the fridge.
2. Place the food storage container on the kitchen table.
3. Check if it needs to be washed in the dishwasher.
4. If needed, wash the food storage container in the dishwasher.
5. Dry off the food storage container with a dish towel.
6. Put away any leftover food or ingredients into the food storage container.
7. Close and store the food storage container back in the fridge.

Is there anything else you would like me to do?",0,please place the food in the glass food storage container,"A) pick up the plastic food storage container
B) pick up the glass food storage container","A) take out the vanilla yogurt cup from the fridge
B) take out the strawberry yogurt cup from the fridge"
168,"clean sponge, dirty sponge, dish soap, ladle, paper towels, cabbage, potato, onion, bell pepper, cucumber, carrot, tomato, garlic, strawberry yogurt cup, vanilla yogurt cup, greek yogurt cup, potato chips, jalapeno chips, eggs","a clean sponge, a dirty sponge, a dish soap, a ladle, paper towels, a cabbage, a potato, an onion, a bell pepper, a cucumber, a carrot, a tomato, a garlic, a strawberry yogurt cup, a vanilla yogurt cup, a greek yogurt cup, potato chips, jalapeno chips, eggs","Robot, please use the clean sponge to wipe down the kitchen counter. Then, use the ladle to mix together a quick and easy vegetable stir-fry. Use a diced onion, a diced bell pepper, a diced carrot, and a diced tomato. Mix the ingredients together and cook over medium heat until the vegetables are tender.","Kitchen robot, please utilize the fresh sponge to clean the kitchen counter. Afterward, take the ladle to combine a simple vegetable stir-fry. Use a chopped onion, a chopped bell pepper, a chopped carrot, and a chopped tomato. Mix all the components together and cook on medium heat until the vegetables are soft.",common_sense_knowledge,,"Robot, please use the clean sponge to wipe down the kitchen counter. Then, use the ladle to mix together a quick and easy vegetable stir-fry. Use a diced onion, a diced bell pepper, a diced carrot, and a diced tomato. Mix the ingredients together and cook over medium heat until the vegetables are tender.",What should be done after wiping down the kitchen counter with the clean sponge?,"Use the ladle to mix together a quick and easy vegetable stir-fry using diced onion, bell pepper, carrot, and tomato. Cook over medium heat until vegetables are tender.","1. Use the clean sponge to wipe down the kitchen counter.
2. Dice the onion, bell pepper, carrot, and tomato.
3. Heat up a pan over medium heat.
4. Add some oil to the pan.
5. Add the diced vegetables to the pan and stir fry them using the ladle.
6. Cook until vegetables are tender.
7. Serve and enjoy!","1. Use the clean sponge to wipe down the kitchen counter.
2. Dice the onion, bell pepper, carrot, and tomato.
3. Heat up a pan over medium heat.
4. Add some oil to the pan.
5. Add the diced vegetables to the pan and stir fry them using the ladle.
6. Cook until vegetables are tender.
7. Serve and enjoy!",0,mix diced onion bell pepper carrot and tomato in a pan using a ladle and cook over medium heat until vegetables are tender to make a quick and easy vegetable stirfry,A) use the clean sponge to wipe down the kitchen counter,"A) rinse the clean sponge with water
B) dry the kitchen counter with a paper towel"
302,"bread knife, paring knife, butter knife, cutting board, knife block, vanilla cake, ice cream cake, carrot cake, strawberry cake, honey, strawberry yogurt cup, vanilla yogurt cup","a bread knife, a paring knife, a butter knife, a cutting board, a knife block, a vanilla cake, an ice cream cake, a carrot cake, a strawberry cake, honey, a strawberry yogurt cup, a vanilla yogurt cup",Use the bread knife to slice a piece of the vanilla cake. Place the slice of cake on a plate and drizzle a tablespoon of honey over the top. Scoop a small portion of the strawberry yogurt into a bowl and place it on the plate next to the cake. Heat up a mug of water in the microwave and steep a bag of green tea in the mug for 2-3 minutes. Remove the tea bag and place the mug of green tea on the plate next to the yogurt.,"Robot, please use the bread knife to cut a piece of the vanilla cake. Place it on a plate and drizzle some honey over it. Scoop a bit of the strawberry yogurt into a bowl and place it on the plate next to the cake. Heat up a mug of water in the microwave and steep a green tea bag in it for 2-3 minutes. Remove the tea bag and place the mug of green tea on the plate next to the yogurt. Thank you!",common_sense_knowledge,,"Slice a piece of cake with the knife. Place it on a plate and drizzle honey over it. Scoop some strawberry yogurt into a bowl and place it on the plate. Heat up water in the microwave, steep a tea bag in the mug for 2-3 minutes, then place the mug next to the yogurt.",Which knife should I use to slice the piece of cake?,Use the bread knife.,"1. Use the bread knife to slice a piece of the vanilla cake.
2. Place the slice of cake on a plate.
3. Drizzle a tablespoon of honey over the top of the cake.
4. Scoop a small portion of the strawberry yogurt into a bowl.
5. Place the bowl of yogurt on the plate next to the cake.
6. Heat up a mug of water in the microwave.
7. Steep a bag of green tea in the mug for 2-3 minutes.
8. Remove the tea bag from the mug and place it on the plate next to the yogurt and cake.

(Note: You may want to consider washing any utensils or dishes used during this process as well.)","1. Slice a piece of cake with the knife.
2. Place it on a plate.
3. Drizzle honey over it.
4. Scoop some strawberry yogurt into a bowl and place it on the plate.
5. Heat up water in the microwave.
6. Steep a tea bag in the mug for 2-3 minutes, then place the mug next to the yogurt.",0,use the bread knife to slice the bread,A) slice a piece of vanilla cake with the knife,"A) use the bread knife to slice the piece of cake
B) use the paring knife to slice the piece of cake"
226,"spatula, chopsticks, stainless steel dinner fork, stainless steel salad fork, stainless steel dinner knife, stainless steel tablespoon, wooden tablespoon, silver teaspoon, strawberry yogurt cup, vanilla yogurt cup, greek yogurt cup, cottage cheese, cream cheese, cheddar cheese slices, mozarella sticks, fresh mozarella package, bottle of white wine, bottle of red wine","a spatula, chopsticks, a stainless steel dinner fork, a stainless steel salad fork, a stainless steel dinner knife, a stainless steel tablespoon, a wooden tablespoon, a silver teaspoon, a strawberry yogurt cup, a vanilla yogurt cup, a greek yogurt cup, cottage cheese, cream cheese, cheddar cheese slices, mozarella sticks, a fresh mozarella package, a bottle of white wine, a bottle of red wine","Robot, please use the spatula to spread cream cheese evenly on a slice of cheddar cheese, and then roll it up tightly into a spiral.","Hey kitchen robot, can you take the spatula and spread the cream cheese evenly on a slice of cheddar cheese? After that, roll it up tightly into a spiral. Thank you!",common_sense_knowledge,,"Robot, please use the spatula to spread cream cheese evenly on a slice of cheddar cheese.",Which utensil should I use to roll up the cream cheese-covered cheddar cheese into a spiral?,You should use the spatula,"1. Retrieve the spatula from the kitchen utensil drawer.
2. Take out a slice of cheddar cheese from the fridge.
3. Open the cream cheese container and use the spatula to spread it evenly on the cheddar cheese slice.
4. Roll up the cream cheese-covered cheddar cheese slice tightly into a spiral shape.
5. Place the rolled-up snack on a plate and serve it as requested.

Let me know if you need any further assistance!","1. Retrieve the spatula from the kitchen utensil drawer.
2. Take out a slice of cheddar cheese from the fridge.
3. Open the cream cheese container and use the spatula to spread it evenly on the cheddar cheese slice.
4. Serve as requested.",3,use the spatula to carefully flip the pancakes over when they start to bubble on top,"A) pick up the stainless steel dinner fork
B) pick up the stainless steel salad fork
C) pick up the stainless steel dinner knife","A) use the stainless steel dinner fork to roll up the cream cheese-covered cheddar cheese into a spiral
B) use chopsticks to roll up the cream cheese-covered cheddar cheese into a spiral"
326,"ladle, soup pot, stockpot, peach, orange, watermelon, melon, apple, banana, kiwi, pear, avocado, lemon, apricot, pineapple, buckwheat, basmati rice, couscous, brown rice, jasmine rice, olive oil, sunflower oil","a ladle, a soup pot, a stockpot, a peach, an orange, a watermelon, a melon, an apple, a banana, a kiwi, a pear, an avocado, a lemon, an apricot, a pineapple, buckwheat, basmati rice, couscous, brown rice, jasmine rice, olive oil, sunflower oil","Use the ladle to scoop out a serving of cooked brown rice from the stockpot. Then, use a knife to slice a ripe avocado in half and remove the pit. Scoop out the avocado flesh and mix it with the brown rice, a drizzle of olive oil, and a squeeze of lemon juice for a healthy and flavorful side dish.","Robot, please use the ladle to scoop out a portion of cooked whole grain rice from the large pot. Next, take a knife to cut a ripe green fruit in half and remove the seed. Scoop out the soft fruit flesh and mix it with the whole grain rice, a drizzle of healthy oil, and a squeeze of sour citrus juice for a nutritious and tasty side dish.",preferences," soup pot, stockpot",Mix the avocado with the brown rice in the pot.,Where should you mix the avocado with the brown rice?,Use the stockpot,"1. Use the ladle to scoop out a serving of cooked brown rice from the stockpot.
2. Use a knife to slice a ripe avocado in half and remove the pit.
3. Scoop out the avocado flesh and mix it with the brown rice.
4. Drizzle olive oil over the mixture.
5. Squeeze lemon juice over the mixture for flavor enhancement.","1. Use the ladle to scoop out a serving of cooked brown rice from the stockpot.
2. Use a knife to slice a ripe avocado in half and remove the pit.
3. Scoop out the avocado flesh and mix it with the brown rice in the pot.
4. Drizzle olive oil over the mixture.
5. Squeeze lemon juice over the mixture for flavor enhancement.",2,use the stockpot to cook the soup,"A) Use the ladle to scoop out the avocado flesh
B) Mix the avocado flesh with the brown rice in the pot","A) mix the avocado with the brown rice in the soup pot
B) mix the avocado with the brown rice in the stockpot"
473,"ladle, porcelain cup, beer mug, ceramic mug, glass mug, plastic cup, paper cup, glass, dish rack, eggs, cinnamon sugar donut, strawberry frosted donut, tomato paste, mustard, mayonnaise, ketchup, greek yogurt cup, vanilla yogurt cup","a ladle, a porcelain cup, a beer mug, a ceramic mug, a glass mug, a plastic cup, a paper cup, a galss, a dish rack, eggs, a cinnamon sugar donut, a strawberry frosted donut, tomato paste, mustard, mayonnaise, ketchup, a greek yogurt cup, a vanilla yogurt cup",Serve the cinnamon sugar donut on the ceramic mug.,"Robot, please place the cinnamon sugar donut on the ceramic cup.",preferences,"porcelain cup, beer mug, ceramic mug, glass mug, plastic cup, paper cup, glass",Serve the cinnamon sugar donut on a mug.,Which type of mug should I use to serve the cinnamon sugar donut?,Use the ceramic mug.,"1. Take the ceramic mug from the cupboard
2. Place the cinnamon sugar donut on the ceramic mug
3. Serve the cinnamon sugar donut on the kitchen table
4. Enjoy my delicious treat","1. Take a mug from the cupboard
2. Place the cinnamon sugar donut on the mug
3. Serve the cinnamon sugar donut on the kitchen table
4. Enjoy my delicious treat",0,use the ceramic mug for this task,"A) pick up the porcelain cup
B) pick up the beer mug
C) pick up the ceramic mug
D) pick up the glass mug","A) use the ceramic mug to serve the cinnamon sugar donut
B) use the glass mug to serve the cinnamon sugar donut"
23,"whisk, clean sponge, dirty sponge, dish soap, glass milk bottle, oat milk bottle, muesli, cornflakes, potato chips, rice chips, jalapeno chips","a whisk, a clean sponge, a dirty sponge, a dish soap, a glass milk bottle, an oat milk bottle, muesli, cornflakes, potato chips, rice chips, jalapeno chips","Kitchen Robot, please pour a bowl of muesli and top it with oat milk.","Robot, please prepare a bowl of cereal with oat milk.",preferences,"muesli, cornflakes","Kitchen Robot, please prepare a bowl of cereal with milk.",Which type of cereal should I use for the bowl?,Muesli.,"1. Retrieve a bowl from the kitchen cabinet.
2. Pour muesli into the bowl.
3. Open the oat milk bottle and pour it over the muesli.
4. Mix the muesli and oat milk together using a whisk.
5. Serve the bowl of muesli with oat milk on the kitchen table for consumption.","1. Retrieve a bowl from the kitchen cabinet.
2. Pour cereal into the bowl.
3. Open the milk bottle and pour it over the cereal.
4. Mix the cereal and milk together using a whisk.
5. Serve the bowl of cereal with milk on the kitchen table for consumption.",1,prepare muesli for breakfast,"A) pour muesli into the bowl
B) pour cornflakes into the bowl","A) pour muesli into the bowl
B) pour cornflakes into the bowl"
