,environment_short,environment_full,unambiguous_direct,unambiguous_indirect,ambiguity_type,amb_shortlist,ambiguous_task,question,answer,plan_for_clear_task,plan_for_amb_task,end_of_ambiguity,user_intent,variants,variants_best
187,"garlic press, shears, whisk, bottle of white wine, bottle of red wine, honey, muesli, cornflakes, fresh mozarella package, mozarella sticks, cream cheese","a garlic press, shears, a whisk, a bottle of white wine, a bottle of red wine, honey, muesli, cornflakes, a fresh mozarella package, mozarella sticks, cream cheese","Robot, please use the garlic press to mince two cloves of garlic. Then, heat a tablespoon of olive oil (if available in the kitchen) in a pan over medium heat. Add the minced garlic to the pan and cook for 1-2 minutes until fragrant. Add a cup of cherry tomatoes (if available in the fridge) to the pan and cook for 5-7 minutes until softened. Serve the tomatoes and garlic over a slice of toasted bread with a sprinkle of shredded mozzarella cheese on top.","Kitchen robot, please crush two cloves of garlic using the garlic press. Next, warm up a tablespoon of olive oil (if it's in the kitchen) in a pan on medium heat. Add the crushed garlic to the pan and cook for 1-2 minutes until it smells good. Put a cup of cherry tomatoes (if they're in the fridge) into the pan and cook for 5-7 minutes until they soften. Serve the cooked tomatoes and garlic on top of a piece of toasted bread with some shredded mozzarella cheese sprinkled over them.",common_sense_knowledge,,"Robot, please use the garlic press to mince two cloves of garlic. Then, heat a tablespoon of olive oil (if available in the kitchen) in a pan over medium heat. Add the minced garlic to the pan and cook for 1-2 minutes until fragrant. Add a cup of cherry tomatoes (if available in the fridge) to the pan and cook for 5-7 minutes until softened. Serve the tomatoes and garlic over a slice of toasted bread with a sprinkle of shredded mozzarella cheese on top.","Robot, where should I find cherry tomatoes in order to complete this task? ",You can find cherry tomatoes in the fridge,"1. Use the garlic press to mince two cloves of garlic.
2. Heat a tablespoon of olive oil in a pan over medium heat.
3. Add the minced garlic to the pan and cook for 1-2 minutes until fragrant.
4. Add a cup of cherry tomatoes to the pan and cook for 5-7 minutes until softened.
5. Toast a slice of bread.
6. Serve the cooked tomatoes and garlic over the toasted bread with shredded mozzarella cheese on top.","1. Use the garlic press to mince two cloves of garlic.
2. Heat a tablespoon of olive oil in a pan over medium heat.
3. Add the minced garlic to the pan and cook for 1-2 minutes until fragrant.
4. Add a cup of cherry tomatoes to the pan and cook for 5-7 minutes until softened.
5. Toast a slice of bread.
6. Serve the cooked tomatoes and garlic over the toasted bread with shredded mozzarella cheese on top.",0,retrieve cherry tomatoes from the fridge,A) Use the garlic press to mince two cloves of garlic.,"A) check the fridge for cherry tomatoes
B) check the pantry for cherry tomatoes"
436,"stainless steel tablespoon, wooden tablespoon, silver teaspoon, grater, peach, avocado, lemon, orange, glass milk bottle, oat milk bottle, strawberry yogurt cup, vanilla yogurt cup, greek yogurt cup","a stainless steel tablespoon, a wooden tablespoon, a silver teaspoon, a grater, a peach, an avocado, a lemon, an orange, a glass milk bottle, an oat milk bottle, a strawberry yogurt cup, a vanilla yogurt cup, a greek yogurt cup","Kitchen Robot, please use the grater to grate the zest of the lemon and the orange into a small bowl. Then, use the wooden tablespoon to mix the zest with a cup of Greek yogurt and a tablespoon of honey. Serve the flavored yogurt in a glass with a slice of peach and avocado on top.","Dear kitchen assistant, please grate the zest of the lemon and orange using the grater into a small bowl. Then, mix the zest with a cup of Greek yogurt and honey using the wooden spoon. Serve the flavored yogurt in a glass with peach and avocado slices on top. Thank you!",preferences,"strawberry yogurt cup, vanilla yogurt cup, greek yogurt cup","Kitchen Robot, please prepare a fruit salad with citrus zest with yogurt dressing using the ingredients in the kitchen.",Which type of yogurt should be used for mixing with the zest?,Greek yogurt.,"1. Grate the zest of the lemon and orange into a small bowl using the grater.
2. Mix the zest with a cup of Greek yogurt and a tablespoon of honey using the wooden tablespoon.
3. Serve the flavored yogurt in a glass.
4. Place a slice of peach and avocado on top of the yogurt in the glass.","1. Grate the zest of the lemon and orange into a small bowl using the grater.
2. Mix the zest with a cup of Greek yogurt and a tablespoon of honey using the wooden tablespoon.
3. Serve the flavored yogurt in a glass.
4. Place a slice of peach and avocado on top of the yogurt in the glass.",0,use greek yogurt,"A) Grate the zest of the lemon into a small bowl using the grater
B) Grate the zest of the orange into a small bowl using the grater","A) use the strawberry yogurt cup for mixing with the zest
B) use the vanilla yogurt cup for mixing with the zest
C) use the greek yogurt cup for mixing with the zest"
458,"oven mitts, bottle opener, mixer, black tea bags, green tea bags, bottle of white wine, bottle of red wine, tomato, cucumber, bell pepper, garlic","oven mitts, a bottle opener, a mixer, black tea bags, green tea bags, a bottle of white wine, a bottle of red wine, a tomato, a cucumber, a bell pepper, a garlic","Prepare a Fresh Vegetable Salad.
Task Instructions:
Chop the Vegetables:
Use a knife from the kitchen to chop the tomato, cucumber, bell pepper, and garlic into small, even pieces.
Mix the chopped vegetables in a bowl.","Robot, please use a kitchen utensil to cut the tomato, cucumber, bell pepper, and garlic into small, uniform pieces. Combine the diced vegetables in a bowl.",common_sense_knowledge,,Prepare a Fresh Vegetable Salad.,What tool should be used to chop the vegetables?,A knife.,"1. Wash the tomato, cucumber, bell pepper, and garlic.
2. Chop the tomato into small, even pieces.
3. Chop the cucumber into small, even pieces.
4. Chop the bell pepper into small, even pieces.
5. Peel and chop the garlic into small pieces.
6. Mix all chopped vegetables in a bowl to prepare the Fresh Vegetable Salad.","Task Instructions:
1. Wash the tomato, cucumber, bell pepper, and garlic.
2. Chop the tomato into small, even pieces.
3. Chop the cucumber into small, even pieces.
4. Chop the bell pepper into small, even pieces.
5. Peel and chop the garlic into small pieces.
6. Mix all chopped vegetables in a bowl to prepare the Fresh Vegetable Salad.",0,use a knife to cut the ingredients,"A) pick up the bottle opener
B) pick up the black tea bags
C) pick up the green tea bags","A) use the cutting board and bread knife to chop the vegetables
B) use the cutting board and paring knife to chop the vegetables"
492,"metal bowl, plastic bowl, ceramic bowl, stainless steel tablespoon, wooden tablespoon, silver teaspoon, glass milk bottle, oat milk bottle, mixed fruit jam, condensed milk, green seedless grapes, black seedless grapes, red seedless grapes","a metal bowl, a plastic bowl, a ceramic bowl, a stainless steel tablespoon, a wooden tablespoon, a silver teaspoon, a glass milk bottle, an oat milk bottle, mixed fruit jam, condensed milk, green seedless grapes, black seedless grapes, red seedless grapes",Wipe the sink clean with paper towels after washing the dishes.,"Robot, please clean the sink with paper towels after washing the dishes.",preferences,,Wipe the sink clean with paper towels after washing the dishes.,Which cleaning product should I use to wipe the sink clean?,"You should only use paper towels to wipe the sink clean, no cleaning products are needed.","1. Wipe the sink clean with paper towels after washing the dishes
2. Put away any clean dishes from the dishwasher
3. Organize and clean out the fridge
4. Wash any dirty dishes in the sink
5. Make a cup of tea using the tea kettle
6. Enjoy a snack of mixed fruit jam on toast with a glass of oat milk","1. Wipe the sink clean with paper towels after washing the dishes
2. Put away any clean dishes from the dishwasher
3. Organize and clean out the fridge
4. Wash any dirty dishes in the sink
5. Make a cup of tea using the tea kettle
6. Enjoy a snack of mixed fruit jam on toast with a glass of oat milk",0,use paper towels to wipe the sink clean do not use any cleaning products,A) wipe the sink clean with paper towels,"A) use dish soap and water to wipe the sink clean
B) use a disinfectant spray to wipe the sink clean"
290,"potholder, chopsticks, stainless steel dinner fork, stainless steel salad fork, stainless steel dinner knife, eggs, energy bar","a potholder, chopsticks, a stainless steel dinner fork, a stainless steel salad fork, a stainless steel dinner knife, eggs, an energy bar","Slice the lemon in half and then use the garlic press to squeeze the juice from one half into a ceramic bowl, ensuring to catch any seeds with the press.","Robot, please cut the lemon in two and then extract the juice from one half using the garlic crusher into a ceramic bowl, making sure to catch any seeds with the crusher.",common_sense_knowledge,,"Slice the lemon in half and then use the garlic press to squeeze the juice from one half into a ceramic bowl, ensuring to catch any seeds with it.",What should be used to catch any seeds while squeezing the lemon juice?,The garlic press.,"1. Slice the lemon in half
2. Use the garlic press to squeeze the juice from one half into a ceramic bowl
3. Catch any seeds with the press","1. Slice the lemon in half
2. Use the garlic press to squeeze the juice from one half into a ceramic bowl
3. Catch any seeds with it",2,use the garlic press to crush garlic cloves,A) use the stainless steel dinner fork to catch any seeds,"A) use a strainer to catch any seeds while squeezing the lemon juice
B) use your hand to catch any seeds while squeezing the lemon juice"
406,"bread knife, paring knife, butter knife, cutting board, corkscrew, eggs, cheesecake, vanilla cake, carrot cake, ice cream cake, strawberry cake","a bread knife, a paring knife, a butter knife, a cutting board, a corkscrew, eggs, a cheesecake, a vanilla cake, a carrot cake, an ice cream cake, a strawberry cake","Robot, please take the cutting board and the paring knife from the kitchen drawer, and use them to slice a few strawberries from the fridge. Next, take the cheesecake and the strawberry cake from the fridge, and place them on the kitchen table. Use the bread knife to cut a slice of each cake, and place them on separate plates. Arrange the sliced strawberries on top of the cheesecake slice, and drizzle a tablespoon of honey from the pantry over the strawberries. Serve the cheesecake slice and the strawberry cake slice on the kitchen table, along with a fork for each, for a sweet and indulgent dessert.","Robot, please retrieve the cutting board and paring knife from the kitchen drawer. Use them to slice some strawberries from the fridge. Then, take out the cheesecake and strawberry cake from the fridge and place them on the kitchen table. Cut a piece of each cake using the bread knife and put them on separate plates. Arrange the sliced strawberries on top of the cheesecake slice, then drizzle some honey over them. Serve both desserts on the table with a fork for each person to enjoy a delicious treat.",common_sense_knowledge,,"Robot, please take the cutting board and the paring knife from the kitchen drawer, and use them to slice a few strawberries from the fridge. Next, take the cheesecake and the strawberry cake from the fridge, and place them on the kitchen table. Use the knife to cut a slice of each cake, and place them on separate plates. Arrange the sliced strawberries on top of the cheesecake slice, and drizzle a tablespoon of honey from the pantry over the strawberries. Serve the cheesecake slice and strawberry cake slice on the kitchen table, along with a fork for each.",Which knife should I use to cut a slice of each cake?,Use the bread knife to cut a slice of each cake.,"1. Take the cutting board and paring knife from the kitchen drawer.
2. Slice a few strawberries from the fridge using the paring knife and cutting board.
3. Take out the cheesecake and strawberry cake from the fridge.
4. Place the cheesecake and strawberry cake on the kitchen table.
5. Use the bread knife to cut a slice of each cake.
6. Place each slice on separate plates.
7. Arrange sliced strawberries on top of the cheesecake slice.
8. Drizzle a tablespoon of honey over the strawberries on top of the cheesecake slice.
9. Serve both slices on plates with forks on the kitchen table for dessert enjoyment!","1. Take the cutting board and paring knife from the kitchen drawer.
2. Slice a few strawberries from the fridge using the paring knife and cutting board.
3. Take out the cheesecake and strawberry cake from the fridge.
4. Place the cheesecake and strawberry cake on the kitchen table.
5. Use a knife to cut a slice of each cake.
6. Place each slice on separate plates.
7. Arrange sliced strawberries on top of the cheesecake slice.
8. Drizzle a tablespoon of honey over the strawberries on top of the cheesecake slice.
9. Serve both slices on plates with forks on the kitchen table for dessert enjoyment!",4,use the bread knife to cut a slice from each cake,"A) use the bread knife to cut a slice of each cake
B) use the paring knife to cut a slice of each cake
C) use the butter knife to cut a slice of each cake","A) use the bread knife to cut a slice of each cake
B) use the paring knife to cut a slice of each cake"
475,"frying pan, grill pan, sauce pan, ladle, honey, bottle of white wine, bottle of red wine, energy bar","a frying pan, a grill pan, a sauce pan, a ladle, honey, a bottle of white wine, a bottle of red wine, an energy bar","Simmer a savory sauce using the saucepan, white wine, honey, and herbs.","Robot, please prepare a savory sauce by simmering a mixture of white wine, honey, and herbs in the saucepan.",common_sense_knowledge,,"Simmer a savory sauce using the saucepan, white wine, honey, and herbs.",Can I use the oven to simmer the sauce?,"No, you cannot use the oven to simmer the sauce. Use the stove instead.","1. Fill the saucepan with white wine and turn on the stove to simmer.
2. Add honey and herbs to the saucepan and stir well.
3. Let the sauce simmer for a few minutes until it thickens slightly.
4. Taste the sauce and adjust seasoning if necessary.
5. Turn off the stove and let the sauce cool before serving with your dish of choice.","1. Fill the saucepan with white wine and turn on the stove to simmer.
2. Add honey and herbs to the saucepan and stir well.
3. Let the sauce simmer for a few minutes until it thickens slightly.
4. Taste the sauce and adjust seasoning if necessary.
5. Turn off the stove and let the sauce cool before serving with your dish of choice.",0,do not use the oven to simmer the sauce use the stove instead,"A) Fill the saucepan with white wine
B) Turn on the stove to simmer","A) Fill the saucepan with white wine and turn on the stove to simmer
B) Fill the frying pan with white wine and turn on the stove to simmer"
230,"paper towels, toaster, ladle, mustard, ketchup, tomato paste, mayonnaise, sunflower oil, olive oil, coconut oil, cheddar cheese slices, fresh mozarella package, mozarella sticks, cream cheese, black tea bags, green tea bags, tomato, potato","paper towels, a toaster, a ladle, mustard, ketchup, tomato paste, mayonnaise, sunflower oil, olive oil, coconut oil, cheddar cheese slices, a fresh mozarella package, mozarella sticks, cream cheese, black tea bags, green tea bags, a tomato, a potato","Robot, please use the toaster to toast a slice of bread. Then, spread a layer of cream cheese on top and add a slice of cheddar cheese. Place a slice of fresh tomato and a slice of fresh mozzarella on top of the cheese. Serve the open-faced sandwich with a side of mixed greens salad and a glass of iced tea.","Kitchen robot, please toast a piece of bread using the toaster. After toasting, spread cream cheese on the bread and add a slice of cheddar cheese. Place a slice of fresh tomato and fresh mozzarella on top of the cheese. Serve the open-faced sandwich with a side of mixed greens salad and a glass of iced tea.",preferences,"fresh mozarella package, mozarella sticks, cream cheese","Robot, please use the toaster to toast a slice of bread. Then, spread a layer of cream cheese on top and add a slice of cheddar cheese. Place a slice of fresh tomato and a slice of fresh mozzarella on top of the cheese. Serve the open-faced sandwich with a side of mixed greens salad and a glass of iced tea.",Should I use the fresh mozarella package or mozarella sticks for this task?,Use the fresh mozarella package for this task to ensure quality ingredients are used for the sandwich.,"1. Turn on the toaster and wait for it to heat up.
2. Place a slice of bread in the toaster and toast it until golden brown.
3. Take out the toasted bread and place it on a plate.
4. Spread a layer of cream cheese on top of the toasted bread.
5. Add a slice of cheddar cheese on top of the cream cheese.
6. Place a slice of fresh tomato on top of the cheddar cheese.
7. Add a slice of fresh mozzarella on top of the tomato.
8. Prepare a side salad with mixed greens and dressing.
9. Pour iced tea into a glass and add ice cubes.
10. Serve the open-faced sandwich with the side salad and iced tea.

Is there anything else you would like me to do?","1. Turn on the toaster and wait for it to heat up.
2. Place a slice of bread in the toaster and toast it until golden brown.
3. Take out the toasted bread and place it on a plate.
4. Spread a layer of cream cheese on top of the toasted bread.
5. Add a slice of cheddar cheese on top of the cream cheese.
6. Place a slice of fresh tomato on top of the cheddar cheese.
7. Add a slice of fresh mozzarella on top of the tomato.
8. Prepare a side salad with mixed greens and dressing.
9. Pour iced tea into a glass and add ice cubes.
10. Serve the open-faced sandwich with the side salad and iced tea.

Is there anything else you would like me to do?",0,"use the fresh mozzarella package for this task to ensure quality ingredients are used for the sandwich 

instruction for the robot use the fresh mozzarella package to ensure quality ingredients are used for the sandwich",A) Wait for the toaster to heat up,"A) use the fresh mozarella package
B) use the mozarella sticks"
258,"kitchen towel, corkscrew, ladle, cinnamon sugar donut, strawberry frosted donut, maple bar, coconut donut, strawberry yogurt cup, vanilla yogurt cup, white ceramic plate, wooden plate, metal plate","a kitchen towel, a corkscrew, a ladle, a cinnamon sugar donut, a strawberry frosted donut, a maple bar, a coconut donut, a strawberry yogurt cup, a vanilla yogurt cup, a white ceramic plate, a wooden plate, a metal plate","Grasp the cinnamon sugar donut, and then place it on a small plate.","Robot, please pick up the cinnamon sugar donut and place it on a small plate.",preferences,"white ceramic plate, wooden plate, metal plate","Grasp the cinnamon sugar donut, and then place it on a small plate.",Which small plate should the robot place the cinnamon sugar donut on?,The white ceramic plate next to the microwave.,"1. Grasp the cinnamon sugar donut and place it on a small plate.
2. Put the small plate with the donut on the kitchen table.
3. Fill the tea kettle with water and turn it on to boil.
4. While waiting for the water to boil, clean up any dirty dishes in the sink and load them into the dishwasher.
5. Once the water is boiled, make a cup of tea using a tea bag from the pantry.
6. Enjoy my tea while sitting at the kitchen table with my cinnamon sugar donut.","1. Grasp the cinnamon sugar donut and place it on a small plate.
2. Put the small plate with the donut on the kitchen table.
3. Fill the tea kettle with water and turn it on to boil.
4. While waiting for the water to boil, clean up any dirty dishes in the sink and load them into the dishwasher.
5. Once the water is boiled, make a cup of coffee using a coffee pod from the pantry.
6. Enjoy my coffee while sitting at the kitchen table with my cinnamon sugar donut.",4,place the white ceramic plate next to the microwave,"A) pick up the cinnamon sugar donut
B) pick up the strawberry frosted donut
C) pick up the maple bar
D) pick up the coconut donut","A) place the cinnamon sugar donut on the white ceramic plate
B) place the cinnamon sugar donut on the wooden plate
C) place the cinnamon sugar donut on the metal plate"
26,"coffee machine, clean sponge, dirty sponge, dish soap, plastic dinner plate, plastic bread plate, plastic salad plate, ceramic dinner plate, ceramic bread plate, ceramic salad plate, glass dinner plate, glass bread plate, glass salad plate, glass milk bottle, oat milk bottle, olive oil, coconut oil, sunflower oil, energy bar, mixed fruit jam","a coffee machine, a clean sponge, a dirty sponge, a dish soap, a plastic dinner plate, a plastic bread plate, a plastic salad plate, a ceramic dinner plate, a ceramic bread plate, a ceramic salad plate, a glass dinner plate, a glass bread plate, a glass salad plate, a glass milk bottle, an oat milk bottle, olive oil, coconut oil, sunflower oil, an energy bar, mixed fruit jam","Kitchen Robot, please pour a glass of oat milk into the glass milk bottle and place it on the kitchen table next to a ceramic bread plate with a spoonful of mixed fruit jam on it","Robot, please fill the glass milk bottle with oat milk and place it on the kitchen table next to the ceramic bread plate topped with a dollop of mixed fruit jam.",preferences,"plastic bread plate, ceramic bread plate,","Kitchen Robot, please pour a glass of oat milk into the glass milk bottle and place it on the kitchen table next to a bread plate with a spoonful of mixed fruit jam on it.",Which type of plate should the oat milk be placed next to on the kitchen table?,The ceramic bread plate.,"1. Pour a glass of oat milk into the glass milk bottle.
2. Place the glass milk bottle on the kitchen table.
3. Place a ceramic bread plate on the kitchen table.
4. Spoon a spoonful of mixed fruit jam onto the ceramic bread plate.
5. Place the spoon next to the ceramic bread plate with mixed fruit jam on it.

Is there anything else you would like me to do in the kitchen?","Is there anything else you would like me to do in the kitchen?
1. Pour a glass of oat milk into the glass milk bottle.
2. Place the glass milk bottle on the kitchen table.
3. Place a bread plate on the kitchen table.
4. Spoon a spoonful of mixed fruit jam onto the bread plate.
5. Place the spoon next to the bread plate with mixed fruit jam on it.",0,place the bread on the ceramic bread plate,"No, thank you.","A) place the oat milk next to the glass milk bottle on the kitchen table
B) place the oat milk next to the glass dinner plate on the kitchen table"
