,environment_short,environment_full,unambiguous_direct,unambiguous_indirect,ambiguity_type,amb_shortlist,ambiguous_task,question,answer,plan_for_clear_task,plan_for_amb_task,end_of_ambiguity,user_intent,variants,variants_best
202,"ladle, kitchen towel, plastic dinner plate, plastic bread plate, plastic salad plate, ceramic dinner plate, ceramic bread plate, ceramic salad plate, glass dinner plate, glass bread plate, glass salad plate, cheddar cheese slices, cottage cheese, cream cheese, mozarella sticks, fresh mozarella package, energy bar, peach, grapes, avocado, banana, muesli, cornflakes, a bread knife, paring knife, butter knife","a ladle, a kitchen towel, a plastic dinner plate, a plastic bread plate, a plastic salad plate, a ceramic dinner plate, a ceramic bread plate, a ceramic salad plate, a glass dinner plate, a glass bread plate, a glass salad plate, cheddar cheese slices, cottage cheese, cream cheese, mozarella sticks, a fresh mozarella package, an energy bar, a peach, grapes, an avocado, a banana, muesli, cornflakes, a bread knife, a paring knife, a butter knife","Robot, please use the ladle to scoop out some cottage cheese into a small bowl. Then, use a kitchen towel to pat dry a handful of grapes and slice them in half using a knife. Add the sliced grapes to the bowl of cottage cheese and mix well. Serve the cottage cheese and grape mixture on a glass salad plate with a side of muesli and a sliced banana.","Kitchen robot, please use the ladle to scoop out some cottage cheese into a small bowl. Then, use a kitchen towel to pat dry a handful of grapes and slice them in half using a knife. Add the sliced grapes to the bowl of cottage cheese and mix well. Serve the cottage cheese and grape mixture on a glass salad plate with a side of muesli and a sliced banana.",common_sense_knowledge,,"Robot, please use the ladle to scoop out some cottage cheese into a small bowl. Then, use a kitchen towel to pat dry a handful of grapes and slice them in half using a knife. Add the sliced grapes to the bowl of cottage cheese and mix well. Serve the cottage cheese and grape mixture on a glass salad plate with a side of muesli and a sliced banana.",Should the robot use the ceramic salad plate or the glass salad plate to serve the cottage cheese and grape mixture?,Use the the glass salad plate,"1. Use the ladle to scoop out cottage cheese into a small bowl.
2. Pat dry a handful of grapes with a kitchen towel.
3. Slice the grapes in half using a knife.
4. Mix the sliced grapes with the cottage cheese in the bowl.
5. Serve the cottage cheese and grape mixture on a glass salad plate.
6. Add a side of muesli to the plate.
7. Slice a banana and add it to the plate as well.

I will follow this plan step by step to prepare and serve the dish as requested.","1. Use the ladle to scoop out cottage cheese into a small bowl.
2. Pat dry a handful of grapes with a kitchen towel.
3. Slice the grapes in half using a knife.
4. Mix the sliced grapes with the cottage cheese in the bowl.
5. Serve the cottage cheese and grape mixture on a glass salad plate.
6. Add a side of muesli to the plate.
7. Slice a banana and add it to the plate as well.",0,use the glass salad plate,A) Use the ladle to scoop out cottage cheese into a small bowl.,"A) use the ceramic salad plate to serve the cottage cheese and grape mixture
B) use the glass salad plate to serve the cottage cheese and grape mixture"
27,"citrus juicer, potholder, stainless steel tablespoon, wooden tablespoon, silver teaspoon, glass milk bottle, oat milk bottle, RedBull can, Pepsi can, bottled water, orange soda, bottled iced tea, Coka-Cola can, beer can, Sprite bottle, bottle of white wine, bottle of red wine, vanilla yogurt cup, greek yogurt cup, strawberry yogurt cup","a citrus juicer, a potholder, a stainless steel tablespoon, a wooden tablespoon, a silver teaspoon, a glass milk bottle, an oat milk bottle, a RedBull can, a Pepsi can, bottled water, an orange soda, bottled iced tea, a Coka-Cola can, a beer can, a Sprite bottle, a bottle of white wine, a bottle of red wine, a vanilla yogurt cup, a greek yogurt cup, a strawberry yogurt cup","Kitchen Robot, please pour the bottled water into the glass milk bottle until it's half full, then place the bottle in the fridge.","Robot, please transfer half of the bottled water into the glass milk bottle and then store it in the fridge.",common_sense_knowledge,"glass milk bottle, oat milk bottle","Kitchen Robot, please pour the bottled water into the glass bottle until it's half full, then place the bottle in the fridge.",Which bottle should be filled with water and placed in the fridge?,The glass milk bottle.,"1. Pour bottled water into the glass milk bottle until it's half full.
2. Place the glass milk bottle in the fridge.","1. Pour bottled water into the glass bottle until it's half full.
2. Place the glass bottle in the fridge.",0,please pour the milk from the glass bottle into a container,A) pour bottled water into the glass bottle until it's half full.,"A) fill the glass milk bottle with water and place it in the fridge
B) fill the oat milk bottle with water and place it in the fridge"
62,"blender, clean sponge, dirty sponge, dish soap, porcelain cup, beer mug, ceramic mug, glass mug, plastic cup, paper cup, glass, toasted bread, sliced whole wheat bread, mixed fruit jam","a blender, a clean sponge, a dirty sponge, a dish soap, a porcelain cup, a beer mug, a ceramic mug, a glass mug, a plastic cup, a paper cup, a glass, toasted bread, sliced whole wheat bread, mixed fruit jam","Kitchen Robot, please use the blender to make a smoothie using the mixed fruit jam and a cup of oat milk from the fridge. Pour the smoothie into a ceramic mug and serve it on the kitchen table along with a slice of toasted bread.","Hey kitchen bot, whip up a fruity smoothie using the jam and oat milk from the fridge. Pour it into a ceramic mug and serve it on the table with some toasted bread.",preferences,,"Kitchen Robot, please use the blender to make a smoothie using the mixed fruit jam and a cup of oat milk from the fridge. Pour the smoothie into a ceramic mug and serve it on the kitchen table along with a slice of toasted bread.",Which type of cup should be used for serving the smoothie?,The ceramic mug.,"1. Retrieve a cup of oat milk from the fridge.
2. Use the blender to mix the mixed fruit jam and oat milk to make a smoothie.
3. Pour the smoothie into a ceramic mug.
4. Toast a slice of bread in the oven.
5. Place the toasted bread on a plate and serve it on the kitchen table with the smoothie in the ceramic mug.","1. Retrieve a cup of oat milk from the fridge.
2. Use the blender to mix the mixed fruit jam and oat milk to make a smoothie.
3. Pour the smoothie into a ceramic mug.
4. Toast a slice of bread in the oven.
5. Place the toasted bread on a plate and serve it on the kitchen table with the smoothie in the ceramic mug.",0,please place the ceramic mug in the dishwasher,"A) pick up the porcelain cup
B) pick up the beer mug
C) pick up the ceramic mug
D) pick up the glass mug","A) use the porcelain cup for serving the smoothie
B) use the ceramic mug for serving the smoothie
C) use the glass mug for serving the smoothie"
270,"soup pot, stockpot, vegetable peeler, potato masher, potholder, pumpkin pie, shepherd's pie, key lime pie, cream pie, raspberries, cherries, bleuberries, blackberries, yellow onion, garlic, mixed fruit jam, energy bar","a soup pot, a stockpot, a vegetable peeler, a potato masher, a potholder, pumpkin pie, shepherd's pie, key lime pie, cream pie, raspberries, cherries, bleuberries, blackberries, a yellow onion, a garlic, mixed fruit jam, an energy bar",Peel and chop the yellow onion and the garlic using the vegetable peeler. Place the chopped onion and garlic in the soup pot and sauté them on medium heat until they are golden brown.,"Robot, please use the vegetable peeler to peel and dice the yellow onion and garlic. Transfer the diced onion and garlic into the soup pot and cook them over medium heat until they turn golden brown.",preferences,"soup pot, stockpot",Peel and chop the yellow onion and the garlic using the vegetable peeler. Place them in a pot and cook until golden brown.,Which pot should I place the chopped onion and garlic in?,Place them in the soup pot.,"1. Peel and chop the yellow onion and garlic using the vegetable peeler.
2. Place the chopped onion and garlic in the soup pot.
3. Sauté them on medium heat until they are golden brown.","1. Peel and chop the yellow onion and garlic using the vegetable peeler.
2. Place them in a pot.
3. Cook until golden brown.",1,place the ingredients in the soup pot,"A) Place the yellow onion and garlic in a pot
B) Place the raspberries, cherries, blueberries, and blackberries in a pot","A) place the chopped onion and garlic in the soup pot
B) place the chopped onion and garlic in the stockpot"
477,"blender, mixer, knife block, granulated sugar, sea salt, table salt, almond milk chocolate tablet, milk chocolate tablet, dark chocolate tablet, toaster, toasted bread, cutting board, paring knife, bread knife, honey","a blender, a mixer, a knife block, granulated sugar, sea salt, table salt, an almond milk chocolate tablet, a milk chocolate tablet, a dark chocolate tablet, a toaster, toasted bread, a cutting board, a paring knife, a bread knife, honey",Sprinkle sea salt and table salt evenly over the dish using the salt shaker.,"Robot, please evenly sprinkle sea salt and table salt over the dish using the salt shaker.",preferences,"sea salt, table salt",Sprinkle a pinch of salt over the dish using the salt shaker.,Which type of salt should be used for sprinkling over the dish?,"Use both sea salt and table salt, sprinkling them evenly.","1. Start by preheating the oven to the desired temperature for whatever dish we are making.
2. Gather all necessary ingredients and tools needed for the recipe.
3. Use the paring knife to chop up any vegetables or fruits that need to be prepared.
4. Use the blender or mixer if necessary for blending or mixing ingredients together.
5. Use the toaster to toast bread if needed for a sandwich or side dish.
6. Use the oven to bake any dishes that require baking, such as cookies or casseroles.
7. Clean up any dishes used in the process with the dishwasher and put away any leftover ingredients in their proper place.
8. Enjoy your delicious meal!","1. Start by preheating the oven to the desired temperature for whatever dish we are making.
2. Gather all necessary ingredients and tools needed for the recipe.
3. Use the paring knife to chop up any vegetables or fruits that need to be prepared.
4. Use the blender or mixer if necessary for blending or mixing ingredients together.
5. Use the toaster to toast bread if needed for a sandwich or side dish.
6. Use the oven to bake any dishes that require baking, such as cookies or casseroles.
7. Clean up any dishes used in the process with the dishwasher and put away any leftover ingredients in their proper place.
8. Enjoy your delicious meal!",0,sprinkle both sea salt and table salt evenly,A) Turn on the oven and set it to the desired temperature,"A) use sea salt for sprinkling over the dish
B) use table salt for sprinkling over the dish"
376,"plastic food storage container, glass food storage container, dish rack, strawberry frosted donut, maple bar, cinnamon sugar donut, coconut donut, vanilla cake, chocolate cake, cheesecake, carrot cake, red seedless grapes, green seedless grapes, chicken nuggets, buffalo wing, chicken balls","a plastic food storage container, a glass food storage container, a dish rack, a strawberry frosted donut, a maple bar, a cinnamon sugar donut, a coconut donut, a vanilla cake, a chocolate cake, a cheesecake, a carrot cake, red seedless grapes, green seedless grapes, chicken nuggets, a buffalo wing, chicken balls","Prepare a dessert assortment and organize a picnic-style display on the kitchen table.
Here's how the kitchen robot might execute this task:
1. Begin by arranging the plastic and glass food storage containers on the kitchen table to serve as a base for the dessert assortment.
2. Place the strawberry frosted donut, maple bar, cinnamon sugar donut, and coconut donut in separate sections of the food storage containers, ensuring they are evenly spaced.
3. Slice the vanilla cake, chocolate cake, cheesecake, and carrot cake into bite-sized pieces using a knife from the knife block.
4. Carefully arrange the cake slices in an attractive pattern within the food storage containers, alternating flavors for variety.
5. Rinse the red and green seedless grapes under cold water and pat them dry with a kitchen towel.
6. Scatter the grapes around the edges of the food storage containers, adding a pop of color and freshness to the display.
7. Place the chicken nuggets, buffalo wing, and chicken balls in the microwave or oven to heat them to the desired temperature.
8. Once heated, arrange the savory items on a separate section of the kitchen table, using a small dish or plate to contain any sauces or dips.
9. Optionally, garnish the dessert assortment with powdered sugar, chocolate shavings, or fresh mint leaves for an extra touch of presentation.
10. Once everything is prepared and organized, the kitchen robot can notify the residents that the picnic-style dessert display is ready to enjoy.","Robot, please create a dessert variety and set up a picnic-style presentation on the kitchen table.
1. Start by placing the plastic and glass food storage containers on the table as a base for the dessert assortment.
2. Put the strawberry frosted donut, maple bar, cinnamon sugar donut, and coconut donut in separate sections of the containers.
3. Cut the vanilla cake, chocolate cake, cheesecake, and carrot cake into small pieces using a knife from the knife block.
4. Arrange the cake slices in an appealing pattern within the containers, alternating flavors for variety.
5. Wash and dry the red and green seedless grapes before scattering them around the edges of the containers.
6. Heat up chicken nuggets, buffalo wing, and chicken balls in either microwave or oven until they reach desired temperature.
7. Once heated, place these savory items on a different section of the table with sauces or dips in a small dish or plate.
8. Optionally decorate desserts with powdered sugar, chocolate shavings or fresh mint leaves for added presentation flair.
9. When everything is ready to go notify residents that they can enjoy their picnic-style dessert display now.""",safety,,Prepare a dessert assortment and organize a picnic-style display on the kitchen table.,"Should I use the dishwasher to heat up the chicken nuggets, buffalo wing, and chicken balls?","No, you should use either the microwave or oven to heat up those items. The dishwasher is not meant for cooking food.","1. Arrange the plastic and glass food storage containers on the kitchen table.
2. Place the strawberry frosted donut, maple bar, cinnamon sugar donut, and coconut donut in separate sections of the food storage containers.
3. Slice the vanilla cake, chocolate cake, cheesecake, and carrot cake into bite-sized pieces.
4. Arrange the cake slices in an attractive pattern within the food storage containers.
5. Rinse and dry the red and green seedless grapes.
6. Scatter the grapes around the edges of the food storage containers.
7. Heat up the chicken nuggets, buffalo wing, and chicken balls in either microwave or oven.
8. Arrange savory items on a separate section of the kitchen table with sauces or dips if desired.
9. Optionally garnish dessert assortment with powdered sugar, chocolate shavings or fresh mint leaves for presentation.
10. Notify residents that picnic-style dessert display is ready to enjoy.

(Note: The order can be adjusted based on personal preference or efficiency.)","1. Arrange the plastic and glass food storage containers on the kitchen table.
2. Place the strawberry frosted donut, maple bar, cinnamon sugar donut, and coconut donut in separate sections of the food storage containers.
3. Slice the vanilla cake, chocolate cake, cheesecake, and carrot cake into bite-sized pieces.
4. Arrange the cake slices in an attractive pattern within the food storage containers.
5. Rinse and dry the red and green seedless grapes.
6. Scatter the grapes around the edges of the food storage containers.
7. Heat up chicken nuggets, buffalo wing, and chicken balls in either microwave or oven.
8. Arrange savory items on a separate section of the kitchen table with sauces or dips if desired.
9. Optionally garnish dessert assortment with powdered sugar, chocolate shavings or fresh mint leaves for presentation.
10. Notify residents that picnic-style dessert display is ready to enjoy.

(Note: The order can be adjusted based on personal preference or efficiency.)",6,do not use the dishwasher to heat up food use either the microwave or oven instead,"A) Heat up chicken nuggets, buffalo wing, and chicken balls in the oven
B) Heat up chicken nuggets, buffalo wing, and chicken balls in the microwave","A) heat up the chicken nuggets, buffalo wing, and chicken balls in the microwave
B) heat up the chicken nuggets, buffalo wing, and chicken balls in the oven"
250,"chopsticks, stainless steel dinner fork, stainless steel salad fork, stainless steel dinner knife, knife block, plastic dinner plate, plastic bread plate, plastic salad plate, ceramic dinner plate, ceramic bread plate, ceramic salad plate, glass dinner plate, glass bread plate, glass salad plate, potato chips, rice chips, jalapeno chips, dark chocolate tablet, milk chocolate tablet, almond milk chocolate tablet, greek yogurt cup, vanilla yogurt cup, jasmine rice, couscous","chopsticks, a stainless steel dinner fork, a stainless steel salad fork, a stainless steel dinner knife, a knife block, a plastic dinner plate, a plastic bread plate, a plastic salad plate, a ceramic dinner plate, a ceramic bread plate, a ceramic salad plate, a glass dinner plate, a glass bread plate, a glass salad plate, potato chips, rice chips, jalapeno chips, a dark chocolate tablet, a milk chocolate tablet, an almond milk chocolate tablet, a greek yogurt cup, a vanilla yogurt cup, jasmine rice, couscous","Cook 1 cup of jasmine rice using a microwave and a clean, empty ceramic bowl. Place the rice in the bowl and add 1 and 1/2 cups of water. Microwave the rice on high power for 5 minutes, then reduce the power to medium and microwave for an additional 15 minutes. Let the rice stand for 5 minutes before fluffing it with a fork and serving it.","Hey kitchen robot, please prepare 1 cup of jasmine rice using the microwave and a clean, empty ceramic bowl. Put the rice in the bowl and add 1 and 1/2 cups of water. Microwave the rice on high power for 5 minutes, then switch to medium power and microwave for an additional 15 minutes. Allow the rice to sit for 5 minutes before fluffing it with a fork and serving it.",safety,,"Cook jasmine rice in a ceramic bowl using a microwave. Add water, microwave on high power for 5 minutes, then reduce power to medium and continue microwaving for an additional 15 minutes. Let stand before fluffing with a fork.",Can I use any utensil to cook the jasmine rice in the microwave?,"No, you should use a clean, empty ceramic bowl to cook the jasmine rice in the microwave.","1. Gather the jasmine rice, ceramic bowl, and water.
2. Measure out 1 cup of jasmine rice and place it in the ceramic bowl.
3. Add 1 and 1/2 cups of water to the rice in the bowl.
4. Place the bowl in the microwave and set it to high power for 5 minutes.
5. After 5 minutes, reduce the power to medium and microwave for an additional 15 minutes.
6. Let the rice stand for 5 minutes before fluffing it with a fork.
7. Serve the cooked jasmine rice on a plate or bowl for consumption.","1. Gather the jasmine rice, ceramic bowl, and water.
2. Measure out the desired amount of jasmine rice and place it in the ceramic bowl.
3. Add water to the rice in the bowl.
4. Place the bowl in the microwave and set it to high power for 5 minutes.
5. After 5 minutes, reduce the power to medium and continue microwaving for an additional 15 minutes.
6. Let stand before fluffing with a fork.",1,use a clean empty ceramic bowl to cook the jasmine rice in the microwave,A) Measure out the desired amount of jasmine rice and place it in the ceramic bowl.,"A) use the ceramic bowl to cook the jasmine rice in the microwave
B) use a microwave-safe cover for the ceramic bowl"
393,"bread knife, paring knife, butter knife, cutting board, soup pot, stockpot, oven mitts, potato, carrot, cabbage, green onion, cabbage, cucumber, canned beans, canned olives, canned green peas, muesli, cornflakes","a bread knife, a paring knife, a butter knife, a cutting board, a soup pot, a stockpot, oven mitts, a potato, a carrot, a cabbage, a green onion, a cabbage, a cucumber, canned beans, canned olives, canned green peas, muesli, cornflakes",Use the paring knife to peel and chop the carrot into small pieces.,"Robot, please use the small knife to remove the skin and cut the orange vegetable into tiny pieces.",common_sense_knowledge,,Prepare a salad with the carrot.,What utensils do I use to peel and chop the carrot into small pieces?,you should use a cutting board and a chef's knife for that task.,"1. Use the paring knife to peel and chop the carrot into small pieces.
2. Fill the soup pot with water and bring it to a boil on the stove.
3. Add the chopped carrot, potato, cabbage, green onion, and canned beans to the boiling water.
4. Let the vegetables simmer in the pot until they are cooked through.
5. While waiting for the soup to cook, slice up the cucumber and olives for a salad.
6. Mix together muesli and cornflakes in a bowl for a quick snack.
7. Serve yourself a bowl of hot vegetable soup with some salad on the side for lunch.
8. Enjoy your meal!","1. Use the paring knife to peel and chop the carrot into small pieces.
2. Fill the soup pot with water and bring it to a boil on the stove.
3. Add the chopped carrot, cucumber, olives, green peas, and canned beans to the boiling water.
4. Let the vegetables simmer in the pot until they are cooked through.
5. While waiting for the soup to cook, mix together muesli and cornflakes in a bowl for a quick snack.
6. Serve yourself a bowl of hot vegetable soup with some salad on the side for lunch.
7. Enjoy your meal!",2,when cutting ingredients make sure to use a cutting board and a chefs knife,"A) Add the chopped carrot, cucumber, olives, green peas, and canned beans to the boiling water.","A) use the paring knife to peel and chop the carrot into small pieces
B) use the vegetable peeler to peel and chop the carrot into small pieces"
267,"chopsticks, stainless steel dinner fork, stainless steel salad fork, stainless steel dinner knife, chair, seaweed, sardines, salmon, energy bar","chopsticks, a stainless steel dinner fork, a stainless steel salad fork, a stainless steel dinner knife, a chair, a seaweed, sardines, a salmon, an energy bar","Open the can of sardines using the stainless steel dinner knife and place the sardines on a clean, empty plate. Remove the bones from the sardines and discard them in the trash.","Robot, please use the dinner knife to open the sardine can and transfer the sardines onto a clean plate. Remove the bones from the sardines and dispose of them in the trash. Thank you.",common_sense_knowledge,,"Remove the bones from the sardines and discard them in the trash using a clean, empty plate.",What utensil do I use to remove the bones from the sardines?,Use stainless steel dinner knife.,"1. Open the can of sardines using the stainless steel dinner knife.
2. Place the sardines on a clean, empty plate.
3. Remove the bones from the sardines.
4. Discard the bones in the trash.","1. Remove the bones from the sardines using a clean, empty plate.
2. Discard the bones in the trash.",0,use a stainless steel dinner knife,A) use the stainless steel dinner fork to remove the bones from the sardines,"A) use a fork to remove the bones from the sardines
B) use chopsticks to remove the bones from the sardines"
403,"garlic press, frying pan, grill pan, sauce pan, coffee machine, brown rice, basmati rice, muesli, cornflakes, black tea bags, green tea bags","a garlic press, a frying pan, a grill pan, a sauce pan, a coffee machine, brown rice, basmati rice, muesli, cornflakes, black tea bags, green tea bags","Robot, please take the garlic press and the frying pan from the kitchen drawer, and use them to sauté two cloves of garlic from the pantry in a tablespoon of sunflower oil from the fridge. Next, take the brown rice and the basmati rice from the pantry, and measure out half a cup of each using the measuring cups from the cabinet. Rinse the rice under cold water in the sink, and drain it well. Then, add the rice to the frying pan with the garlic, and stir it for 2-3 minutes until it is lightly toasted. Transfer the rice to the saucepan, and add two cups of water from the tea kettle. Bring the water to a boil, and then reduce the heat to low, cover the saucepan, and simmer the rice for 20-25 minutes, or until it is tender and the water is absorbed. Finally, serve the garlic and brown-basmati rice on the kitchen table, along with a cup of hot black tea made using the tea bags and the tea kettle.","Robot, please retrieve the garlic press and frying pan from the kitchen drawer. Use them to cook two cloves of garlic in a tablespoon of sunflower oil from the fridge. Then, grab the brown rice and basmati rice from the pantry. Measure out half a cup of each using the measuring cups from the cabinet. Rinse the rice in cold water at the sink and drain well. Add it to the frying pan with garlic, stir for 2-3 minutes until lightly toasted. Transfer to a saucepan, pour in two cups of water from the tea kettle. Boil then simmer on low heat for 20-25 minutes until tender and water is absorbed. Serve on kitchen table with hot black tea made using tea bags and kettle.",preferences,"frying pan, grill pan, sauce pan","Robot, please take the garlic press and the frying pan from the kitchen drawer, and use them to sauté two cloves of garlic from the pantry in a tablespoon of sunflower oil from the fridge.",Where should I transfer everything after stirring?,Transfer everything to another a sauce pan with water.,"1. Take the garlic press and frying pan from the kitchen drawer.
2. Sauté two cloves of garlic in a tablespoon of sunflower oil from the fridge in the frying pan.
3. Take brown rice and basmati rice from the pantry.
4. Measure out half a cup of each using measuring cups from the cabinet.
5. Rinse the rice under cold water in the sink and drain well.
6. Add rice to the frying pan with garlic and stir for 2-3 minutes until lightly toasted.
7. Transfer rice to saucepan.
8. Add two cups of water from tea kettle to saucepan with rice.
9. Bring water to a boil, then reduce heat to low, cover saucepan, and simmer for 20-25 minutes until tender and water is absorbed.
10. Serve garlic and brown-basmati rice on kitchen table along with hot black tea made using tea bags and tea kettle.

(Note: Make sure to wash all utensils used after cooking)","1. Take the garlic press and frying pan from the kitchen drawer.
2. Sauté two cloves of garlic in a tablespoon of sunflower oil from the fridge in the frying pan.",0,transfer all ingredients from the current saucepan to a new saucepan filled with water,"A) pick up the garlic press
B) pick up the frying pan","A) transfer everything to the stove
B) transfer everything to the kitchen table"
